2026-03-27 13:51:44 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:53:54 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:54:56 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:54:57 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:55:03 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:56:25 | INFO | app.agent | Answering user query: original_query='привіт'
2026-03-27 13:56:29 | INFO | app.rag | Top retrieved chunk previews for query 'привіт': [{'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'title': '«Абонентам → Акція знижки 20%»', 'url': 'https://telcom.net.ua/oplata', 'score': 0.3217, 'text_preview': 'азва сторінки: («Абонентам → Оплата послуг») URL:https://telcom.net.ua/oplata'}]
2026-03-27 13:56:29 | INFO | app.agent | Ranked link candidates for query 'привіт': [{'url': 'https://telcom.net.ua/oplata', 'title': '«Абонентам → Акція знижки 20%»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 13:56:29 | INFO | app.agent | Selected 0 relevant links for query 'привіт': []
2026-03-27 13:56:29 | INFO | app.agent | Retrieval summary #1 for original_query='привіт' final_query='привіт': [{'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'title': '«Абонентам → Акція знижки 20%»', 'url': 'https://telcom.net.ua/oplata', 'preview': 'азва сторінки: («Абонентам → Оплата послуг») URL:https://telcom.net.ua/oplata'}]
2026-03-27 13:56:30 | INFO | app.rag | Top retrieved chunk previews for query 'привіт': [{'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'title': '«Абонентам → Акція знижки 20%»', 'url': 'https://telcom.net.ua/oplata', 'score': 0.3215, 'text_preview': 'азва сторінки: («Абонентам → Оплата послуг») URL:https://telcom.net.ua/oplata'}]
2026-03-27 13:56:30 | INFO | app.agent | Ranked link candidates for query 'привіт': [{'url': 'https://telcom.net.ua/oplata', 'title': '«Абонентам → Акція знижки 20%»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 13:56:30 | INFO | app.agent | Selected 0 relevant links for query 'привіт': []
2026-03-27 13:56:30 | INFO | app.agent | Retrieval summary #2 for original_query='привіт' final_query='привіт': [{'chunk_id': 'Telcom_Information-chunk-23', 'page': 10, 'title': '«Абонентам → Акція знижки 20%»', 'url': 'https://telcom.net.ua/oplata', 'preview': 'азва сторінки: («Абонентам → Оплата послуг») URL:https://telcom.net.ua/oplata'}]
2026-03-27 13:56:32 | INFO | app.agent | RAG query summary: original_query='привіт' rewritten_queries=['привіт', 'привіт']
2026-03-27 13:56:32 | INFO | app.agent | Final answer for original_query='привіт': 'Ви можете знайти інформацію про оплату послуг та знижки для абонентів за посиланням: Там описано, що для абонентів передбачена знижка 20%.'
2026-03-27 13:59:31 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 13:59:39 | INFO | app.agent | Answering user query: original_query='привіт, хто ти ?'
2026-03-27 13:59:42 | INFO | app.rag | Top retrieved chunk previews for query 'привіт, хто ти ?': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'score': 0.3249, 'text_preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ● Filmbox / Спорт+: 119 грн/міс, понад 300 каналів + 5000 філ...'}]
2026-03-27 13:59:42 | INFO | app.agent | Ranked link candidates for query 'привіт, хто ти ?': [{'url': 'https://telcom.net.ua/contact', 'title': '«Контакти → Контактна інформація»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 13:59:42 | INFO | app.agent | Selected 0 relevant links for query 'привіт, хто ти ?': []
2026-03-27 13:59:42 | INFO | app.agent | Retrieval summary #1 for original_query='привіт, хто ти ?' final_query='привіт, хто ти ?': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ●...'}]
2026-03-27 13:59:42 | INFO | app.rag | Top retrieved chunk previews for query 'привіт, хто ти ?': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'score': 0.3249, 'text_preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ● Filmbox / Спорт+: 119 грн/міс, понад 300 каналів + 5000 філ...'}]
2026-03-27 13:59:42 | INFO | app.agent | Ranked link candidates for query 'привіт, хто ти ?': [{'url': 'https://telcom.net.ua/contact', 'title': '«Контакти → Контактна інформація»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 13:59:42 | INFO | app.agent | Selected 0 relevant links for query 'привіт, хто ти ?': []
2026-03-27 13:59:42 | INFO | app.agent | Retrieval summary #2 for original_query='привіт, хто ти ?' final_query='привіт, хто ти ?': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ●...'}]
2026-03-27 13:59:43 | INFO | app.agent | RAG query summary: original_query='привіт, хто ти ?' rewritten_queries=['хто ти', 'привіт, хто ти']
2026-03-27 13:59:43 | INFO | app.agent | Final answer for original_query='привіт, хто ти ?': 'Ми пропонуємо різні тарифні плани для інтернету, включаючи безкоштовний та платні з різною швидкістю та кількістю каналів. Також є можливість перегляду You.tv на Android TV або ПК, з підтримкою авторизації та мобільних пристроїв. Детальніше можна дізнатись на сайті або за посиланням у контактах.'
2026-03-27 14:05:15 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 14:05:22 | INFO | app.agent | Answering user query: original_query='привіт, хто ти'
2026-03-27 14:05:24 | INFO | app.agent | Final answer for original_query='привіт, хто ти': 'Привіт! Я асистент інтернет компанії "ТелКом", допомагаю з інформацією про підключення інтернету для дому та бізнесу.'
2026-03-27 14:06:16 | INFO | __main__ | Logging configured for Streamlit. Terminal and file output enabled at C:\Users\markiian_leshchyshyn\Documents\NULP\Marta\telcom_support_agent\rag_debug.log
2026-03-27 14:06:19 | INFO | app.agent | Answering user query: original_query='привіт, хто ти'
2026-03-27 14:06:21 | INFO | app.rag | Top retrieved chunk previews for query 'привіт, хто ти': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'score': 0.3139, 'text_preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ● Filmbox / Спорт+: 119 грн/міс, понад 300 каналів + 5000 філ...'}]
2026-03-27 14:06:21 | INFO | app.agent | Ranked link candidates for query 'привіт, хто ти': [{'url': 'https://telcom.net.ua/contact', 'title': '«Контакти → Контактна інформація»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 14:06:21 | INFO | app.agent | Selected 0 relevant links for query 'привіт, хто ти': []
2026-03-27 14:06:21 | INFO | app.agent | Retrieval summary #1 for original_query='привіт, хто ти' final_query='привіт, хто ти': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ●...'}]
2026-03-27 14:06:21 | INFO | app.rag | Top retrieved chunk previews for query 'привіт, хто ти': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'score': 0.3138, 'text_preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ● Filmbox / Спорт+: 119 грн/міс, понад 300 каналів + 5000 філ...'}]
2026-03-27 14:06:21 | INFO | app.agent | Ranked link candidates for query 'привіт, хто ти': [{'url': 'https://telcom.net.ua/contact', 'title': '«Контакти → Контактна інформація»', 'source': 'Telcom_Information.pdf', 'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'score': 1.0, 'rank': 0, 'title_overlap': 0, 'url_overlap': 0, 'text_overlap': 0, 'intent_penalty': 0.0, 'title_penalty': 0.0}]
2026-03-27 14:06:21 | INFO | app.agent | Selected 0 relevant links for query 'привіт, хто ти': []
2026-03-27 14:06:21 | INFO | app.agent | Retrieval summary #2 for original_query='привіт, хто ти' final_query='привіт, хто ти': [{'chunk_id': 'Telcom_Information-chunk-43', 'page': 20, 'title': '«Контакти → Контактна інформація»', 'url': 'https://telcom.net.ua/contact', 'preview': '(телефони, планшети, комп’ютери, Android TV). Тарифи: ● Безкоштовний: 0 грн/міс, понад 190 каналів ● Основний: 99 грн/міс, понад 330 каналів + 5000 фільмів ●...'}]
2026-03-27 14:06:22 | INFO | app.agent | RAG query summary: original_query='привіт, хто ти' rewritten_queries=['хто я', 'привіт, хто ти']
